score,gold_metric,spearman_rho,p_value,significant_005
DS,gold_combined,0.1429,0.7358,no
DS,gold_ears_kw,0.3333,0.4198,no
DS,gold_jaccard,0.9286,0.0009,yes
DS,gold_modal,-0.8144,0.0138,yes
DS,gold_structural,-0.1905,0.6514,no
IR,gold_combined,-0.2275,0.5878,no
IR,gold_ears_kw,-0.1078,0.7995,no
IR,gold_jaccard,0.7785,0.0229,yes
IR,gold_modal,-0.6807,0.0631,no
IR,gold_structural,-0.3473,0.3993,no
O(f),gold_combined,-0.3333,0.4198,no
O(f),gold_ears_kw,-0.3095,0.4556,no
O(f),gold_jaccard,-0.5476,0.16,no
O(f),gold_modal,0.3353,0.4168,no
O(f),gold_structural,-0.1429,0.7358,no
R(f),gold_combined,-0.5476,0.16,no
R(f),gold_ears_kw,-0.2143,0.6103,no
R(f),gold_jaccard,0.2857,0.4927,no
R(f),gold_modal,-0.4192,0.3013,no
R(f),gold_structural,-0.7857,0.0208,yes
SR,gold_combined,-0.119,0.7789,no
SR,gold_ears_kw,-0.2857,0.4927,no
SR,gold_jaccard,-0.8571,0.0065,yes
SR,gold_modal,0.6946,0.0559,no
SR,gold_structural,0.119,0.7789,no
